Game,Roll,Me,Subject,Speaking Player,Count,Dice #,Successfull Challenge?
1,1,1,,Me,1,5,
,,1,,Subject,3,6,Yes
,,1,1,,,,
,,,,,,,
,,2,1,,,,
,,,3,,,,
,2,1,,Me,2,2,
,,1,1,Subject,3,2,
,,1,1,Me,1,3,
,,,1,Subject,2,4,No
,,1,1,,,,
,,,1,,,,
,3,1,,Subject,2,2,
,,1,2,Me,3,2,
,,1,1,Subject,1,6,
,,,,Me,2,6,Yes
,,,,,,,
,,1,1,,,,
,4,,,Subject,2,3,
,,1,1,Me,3,6,No
,,,1,,,,
,,,,,,,
,,,,,,,
,,3,1,,,,
,5,,,Subject,2,4,No
,,3,,,,,
,,1,,,,,
,,,2,,,,
,,,,,,,
,,,,,,,
,6,,1,Me,1,2,
,,2,,Subject,2,5,Yes
,,1,,,,,
,,,,,,,
,,,1,,,,
,,,,,,,
,7,,,Subject,2,4,Yes
,,1,,,,,
,,1,1,,,,
,,,,,,,
,,,,,,,
,,1,,,,,
2,1,1,,Me,1,5,
,,1,,Subject,3,6,Yes
,,1,1,,,,
,,,,,,,
,,2,1,,,,
,,,3,,,,
,2,1,,Me,2,2,
,,1,1,Subject,3,2,
,,1,1,Me,1,3,
,,,1,Subject,2,4,No
,,1,1,,,,
,,,1,,,,
,3,1,,Subject,2,2,
,,1,2,Me,3,2,
,,1,1,Subject,1,6,
,,,,Me,2,6,Yes
,,,,,,,
,,1,1,,,,
,4,,,Subject,2,3,
,,1,1,Me,3,6,No
,,,1,,,,
,,,,,,,
,,,,,,,
,,3,1,,,,
,5,,,Subject,2,4,No
,,3,,,,,
,,1,,,,,
,,,2,,,,
,,,,,,,
,,,,,,,
,6,,1,Me,1,2,
,,2,,Subject,2,5,Yes
,,1,,,,,
,,,,,,,
,,,1,,,,
,,,,,,,
,7,,,Subject,2,4,Yes
,,1,,,,,
,,1,1,,,,
,,,,,,,
,,,,,,,
,,1,,,,,
